Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
S E P,11,Maanga,R. S. Raja,"Premgi Amaren, Advaitha, Leema Babu",Science fiction comedy,Dream Zone Movies,[64]
S E P,11,Naanaage Naanillai,A. P. Rethinam,"Vijayabalan, Kamali",Drama,Thiru Neelakanda Vinayagar Pictures,[64]
S E P,11,Strawberry,Pa. Vijay,"Pa. Vijay, Avani Modi, Yuvina Parthavi",Horror,Vil Makers,[64]
S E P,11,Yatchan,Vishnuvardhan,"Arya, Kreshna, Deepa Sannidhi, Swathi Reddy",Action comedy,"Vishnuvardhan Pictures, UTV Motion Pictures",[64]
S E P,17,49-O,P. Arokiyadoss,"Goundamani, Guru Somasundaram, Vaidehi",Satire,Zero Rules Entertainment,[65]
S E P,17,Maya,Ashwin Saravanan,"Nayantara, Aari, Amzath Khan, Lakshmi Priyaa Chandramouli",Horror,Potential Studios,[65]
S E P,17,Trisha Illana Nayanthara,Adhik Ravichandran,"G. V. Prakash Kumar, Anandhi, Manisha Yadav",Adult comedy,Cameo Films,[65]
S E P,24,Jippaa Jimikki,Ra. Raajasekar,"Krishik Divakar, Kushbu Prasad",Romantic comedy,3 Friends Production,[66]
S E P,24,Kadhal Agathee,Shami Thirumalai,"Harikumar, Aisha Azim, Mamtha",Romance,Ramaiah Cine Creations,[66]
S E P,24,Kirumi,Anucharan,"Kathir, Reshmi Menon, Charle, David Solomon Raja",Thriller,JPR Films,[66]
S E P,24,Kuttram Kadithal,Bramma.,"Master Ajay, Radhika Prasidhha, Sai Rajkumar",Drama,"JSK Film Corporation, Chris Pictures",[66]
S E P,24,Thiruttu VCD,Sukumar,"Prabha, Sakshi Agarwal, Devadarshini",Comedy,VPA Medias,[66]
S E P,24,Unakkenna Venum Sollu,Srinath Ramalingam,"Deepak Paramesh, Jaqlene Prakash, Gunalan Morgan",Horror,Juna Pictures,[66]
O C T,1,Puli,Chimbu Deven,"Vijay, Sudeep, Sridevi, Shruti Haasan, Hansika Motwani",Fantasy Horror,SKT Studios,[67]
O C T,2,Dummy Tappasu,Ravi OS,"Praveen Prem, Ramya Pandian",Comedy,Yacht Ads,[68]
O C T,9,Andhadhi,Ramesh Venkatraman,"Arjun Vijayaragavan, Anjena Kirti, Karthik Nagarajan, Sahithya Jagannathan, Bhargav Chakravarthy",Crime thriller,Dewdrop Pictures,[69]
O C T,9,Kaththukkutti,R. Saravanan,"Narain, Soori, Srushti Dange",Romantic comedy,OWN Productions,[69]
O C T,9,Masala Padam,Laxman Kumar,"Shiva, Bobby Simha, Gaurav, Laxmi Devy",Masala,Allin Pictures,[69]
O C T,9,Sathuran,Rajeev Prasad,"Rajaji, Varsha Bollamma, Raju Easwaran",Action thriller,Kuberan Cinemas,[69]
O C T,16,Athiradi,Mansoor Ali Khan,"Mansoor Ali Khan, Moumita Choudhury",Comedy,Raj Kannadi Films,[70]
O C T,16,Maiem,Aditya Baskar,"Naveen Sanjai, Jai Quehaeni, Kumaran Thangarajan, Suhasinni Kumaran, Hashim Zain, Pooja Devariya",Thriller,Sketchbook Productions,[70]
O C T,16,Marappaachi,K. S. Muthumanoharan,"G. Muruganandam, Suganya",Horror,Gems Pictures,[70]
O C T,16,Sillunu Oru Payanam,R. Vishwa,"Sohaib, Navya",Romance,GN Medias,[70]
O C T,16,Sivappu,Sathyasiva,"Naveen Chandra, Rupa Manjari, Rajkiran, Thambi Ramaiah",Drama,Muktha Films,[70]
O C T,16,Thiraipada Nagaram,S. P. Gnanamozhi,"Muthu, Priya",Romance,"Udhyam Screens, Pasathai Movies",[70]
O C T,21,10 Endrathukulla,Vijay Milton,"Vikram, Samantha Ruth Prabhu",Road thriller,"Fox Star Studios, AR Muragadoss Productions",[71]
O C T,21,Naanum Rowdy Dhaan,Vignesh Shivan,"Vijay Sethupathi, Nayantara, Parthiban",Romantic comedy,Wunderbar Films,[72]
O C T,22,Kubera Rasi,R. Radhakrishnan,"Roshan Basheer, Abhirami Suresh, Biju Isaac",Thriller,I & B Movies,[73]
O C T,30,Apoorva Mahaan,Manimuthu,"Thalaivasal Vijay, Suman, Powerstar Srinivasan",Devotional,TNS Devar Films,[74]
O C T,30,Adhyan,Ram Manoj Kumar,"Abimanyu Nallamuthu, Sakshi Agarwal",Action,Rathang Pictures,[74]
O C T,30,Chikkiku Chikkikkichu,N. Rajesh Kumar,"Anoop Ravindran, Mrudula Murali",Romance,NCR Movie Creations,[74]
O C T,30,Illaignar Paasarai,Jayaraman Rithan,"Vijay Muralee, Anu Krishna",Drama,Freedom Aarts,[74]
O C T,30,Kathirvel Kaaka,V. N. Premkumar,"Manoj Bharathiraja, Preethika Sri, Karunas",Action,Sri Kaliyamman Films,[74]
O C T,30,Om Shanthi Om,D. Surya Prabhakar,"Srikanth, Neelam Upadhyaya, Aadukalam Naren, Vinodhini",Horror drama,8 Point Entertainment,[74]
O C T,30,Pallikoodam Pogamale,Jayasheelan,"Tejas, Aishwarya Raja, Ganesh Venkatraman, Srihari",Drama,Best Rolls,[74]
