Opening,Opening.1,Title,Director,Cast,Genre,Notes,Ref
O C T,26,Chakravarthy Thirumagan,L. Purushottaman,MGR Siva,Comedy,,[51]
O C T,26,Mayilu,Jeevan,"Sri, Shammu",Drama,Produced by Duet Movies,[51]
O C T,26,Vavval Pasanga,Suresh,"Rahul, Utthara Unni",Drama,Produced by Sree Raji Movies,[51]
N O V,2,Ariyaan,P. Karthikeyan,"Santosh Bhavan, Ragini Dwivedi",,,[52]
N O V,2,Asaivam,Kishore,"Sidhaarth, Jennifer, Srija",Romance,,[52]
N O V,2,Magan,,,,,[52]
N O V,2,Yaarukku Theriyum,Ganesan Kamaraj,"Kalabhavan Mani, Nishan, Jayaprakash, Riyaz Khan, Harish Raj, Sanjana Singh",Thriller,Produced by Arubere Art Ventura Pvt Ltd,[52]
N O V,9,Ajantha,Rajppa Ravishankar,"Ramana, Vinu Mohan, Honey Rose, Sai Kiran, Vandana Gupta",,,[53]
N O V,13,Ammavin Kaipesi,Thangar Bachan,"Shanthnu Bhagyaraj, Iniya",Drama,Produced by Thankar Thiraikalam,[54]
N O V,13,Kasi Kuppam,Arun,"Aadarsh, Archana",Drama,Produced by Balamurugan films,[55]
N O V,13,Podaa Podi,Vignesh Shivaa,"Silambarasan, Varalaxmi Sarathkumar, Shobana",Romance,Produced by Gemini Film Circuit,[54]
N O V,13,Thuppakki,A. R. Murugadoss,"Vijay, Kajal Aggarwal, Vidyut Jamwal, Jayaram",Thriller,Produced by V Creations,[54]
N O V,23,Kai,Vinoth Raghava,"Vijith, Joshima",Romance,,[56]
N O V,30,Naduvula Konjam Pakkatha Kaanom,Balaji Tharaneetharan,"Vijay Sethupathi, Gayathrie Shankar",Comedy,Produced by Leo Vision,[57]
N O V,30,Neerparavai,Seenu Ramasamy,"Vishnu, Sunaina, Nandita Das, Saranya Ponvannan",Drama,Produced by Red Giant Movies,[57]
D E C,8,Sun Sun Thatha,Nassar,"Ahbi, Jamali Shadat, Nassar",Drama,,[58]
D E C,14,Kumki,Prabhu Solomon,"Vikram Prabhu, Lakshmi Menon",Drama,Produced by Thirupathi Brothers,[59]
D E C,14,Neethaane En Ponvasantham,Gautham Vasudev Menon,"Jiiva, Samantha, Santhanam",Romance,Produced by Photon Kathaas & RS Infotainment,[59]
D E C,21,Sattam Oru Iruttarai,Sneha Britto,"Thaman Kumar, Piaa Bajpai, Bindu Madhavi, Reemma Sen",Action,,[60]
D E C,28,Akilan,,"Dr. Saravanan, Vidya, Rajkapoor",,,[61]
D E C,28,Kandu Pudichitten,,,,,[61]
D E C,28,Kozhi Koovuthu,K. I. Ranjith,"Ashok, Sija Rose, Rohini, Bose Venkat",Drama,Produced by Bright Media,[61]
D E C,28,Lollu Dhadha Parak Parak,Mansoor Ali Khan,"Mansoor Ali Khan, Anjana, Aarthi, Shakeela, Vennira Aadai Moorthy",Comedy,Produced by Mansoor Ali Khan,[61]
D E C,28,Paraseega Mannan,J. Suresh,"J. Suresh, Sruthi Lakshmi, Ramesh Khanna, KK",Action thriller,Produced by Rich Art Productions,[61]
D E C,28,Pudhumugangal Thevai,Maneesh Babu,"Shivaji Dev, Rajesh Yadhav, Muktha Bhanu, Vishnupriya",Drama,Produced by Winner Bull Films,[61]
