Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref,Production Studio
O C T,10.0,Pulippu Inippu,Ranjith Bose,"Mithun Tejasvi, Rishi Bhutani, Mansi, Gayatri",Comedy,,[51],Shilpa Motion Works
O C T,10.0,Vennila Veedu,Vetri Mahalingam,"Mirchi Senthil, Vijayalakshmi, Srinda Ashab",Family drama,,[51],Adharsh Studio
O C T,10.0,Yaavum Vasappadum,Puthiyavan Rasiah,"Vijith, Dilpikaa",Drama,,[51],AAA Productions
O C T,22.0,Kaththi,AR Murugadoss,"Vijay, Samantha, Neil Nitin Mukesh",Action thriller,,[52],Lyca Productions
O C T,22.0,Poojai,Hari,"Vishal, Shruti Haasan, Sathyaraj",Action-masala,,[52],"Vendhar Movies, Vishal Film Factory"
O C T,31.0,Kadhalukku Kannillai,Jai Akash,"Jai Akash, Nisha, Alisha Das",Romance,,[53],Jai Balaji Movie Makers
O C T,31.0,Kalkandu,A. M. Nandakumar,"Gajesh, Dimple Chopade, Akhil",Comedy,,[53],Rajarathnam Films
O C T,31.0,Nerungi Vaa Muthamidathe,Lakshmy Ramakrishnan,"Shabeer, Piaa Bajpai, Sruthi Hariharan",Road film,,[53],AVA Productions
O C T,31.0,Sokku Sundaram,A. Sridhar,"M.R., Soujanya",Comedy,,[53],M.R. Moviemakers
N O V,7.0,Jaihind 2,Arjun,"Arjun, Surveen Chawla, Simran Kapoor, Rahul Dev",Action,,[54],Sri Rama Films International
N O V,7.0,Oru Oorla Rendu Raja,R. Kannan,"Vimal, Priya Anand, Soori",Comedy,,[54],Kannan Pix
N O V,7.0,Panduvam,Keaton,"Melvin Siddhesh, Swasika",Action,,[54],GS Productions
N O V,14.0,Appuchi Graamam,Vi Anand,"Praveen Kumar, Anusha Naik, Suja Varunee, Swasika",Science fiction,,[55],Eye Catch Multimedia
N O V,14.0,Anbendral Amma,,Sangeetha,Drama,,[55],
N O V,14.0,Gnana Kirukkan,Ilayadevan,"Jagaraj, Daniel Balaji, Archana Kavi, Sushmitha, Senthi Kumari",Drama,,[55],Thangammal Movie Makers
N O V,14.0,Murugaatrupadai,K. Muruganandam,"Saravana, Navika Kotia",Drama,,[55],Sigaram Visual Media
N O V,14.0,Pulipaarvai,Praveen Gandhi,Sathya Dev,Drama,,[55],Vendhar Movies
N O V,14.0,Thirudan Police,Caarthick Raju,"Attakathi Dinesh, Aishwarya Rajesh, Nithin Sathya",Action comedy,,[55],"Capital Film Works, Kenanya Films"
N O V,14.0,Vilaasam,Pa. Rajaganesan,"Pawan, Sanam Shetty, Aadukalam Naren",Action,,[55],Sree Sanaa Films
