Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
F E B,5,Naalai Mudhal Kudikka Matten,K. Senthil Raja,"Raj, Kantharaj, Samathin, Panimathi",Comedy,Panimathi Film Productions,
F E B,5,Saagasam,Arun Raj Varma,"Prashanth, Amanda Rosario, Sonu Sood",Action masala,Staar Movies,
F E B,5,Sethu Boomi,Kenthiran Muniasami,"Thaman Kumar, Samskruthy Shenoy, Kenthiran Muniasami",Action,Royal Moon Entertainments,
F E B,5,Visaranai,Vetrimaaran,"Dinesh, Anandhi, Samuthirakani",Crime thriller,Wunderbar Films & Grass Root Film Company,
F E B,12,Anjala,Thangam Saravanan,"Vimal, Nandita, Pasupathy",Drama,Farmer's Master Plan Productions & 1st Copy Pictures,
F E B,12,Jil Jung Juk,Deeraj Vaidy,"Siddharth, Sananth Reddy, Avinash Raghudevan",Fantasy comedy,Etaki Entertainment,
F E B,12,Vennilavin Arangetram,R. Muthukumar,"Samasthi, Dhinesh Kumar, Murthy",Drama,R Productions,
F E B,12,Vil Ambu,Ramesh Subramaniam,"Sri, Harish Kalyan, Srushti Dange, Chandini Tamilarasan, Samskruthy Shenoy",Action drama,Star Film Land & Nallusamy Pictures,
F E B,19,Miruthan,Shakti Soundar Rajan,"Jayam Ravi, Lakshmi Menon",Science fiction,Global Infotainment,
F E B,19,Navarasa Thilagam,Kamran,"Ma Ka Pa Anand, Srushti Dange, Karunakaran",Comedy,Square Stone Films,
F E B,19,Sethupathi,S. U. Arun Kumar,"Vijay Sethupathi, Remya Nambeesan",Action drama,Vansan Movies,
F E B,26,Aarathu Sinam,Arivazhagan,"Arulnithi, Aishwarya Rajesh, Aishwarya Dutta",Crime thriller,Sri Thenandal Films,
F E B,26,Kanithan,T. N. Santhosh,"Atharvaa, Catherine Tresa, Sunder Ramu, Tarun Arora",Action thriller,V Creations,
F E B,26,Nayyapudai,Vijay Kiran,"Pa. Vijay, Chandini Tamilarasan, S. A. Chandrasekhar",Action drama,6 Face Studios,
M A R,4,Pakki Payaluga,Bharathi,"Valli, Lakshmanan, Murugesan, Manikandan",Action,Meenakshi Amman Studios,
M A R,4,Pichaikkaran,Sasi,"Vijay Antony, Satna Titus",Action drama,Vijay Antony Film Corporation,
M A R,4,Pokkiri Raja,Ramprakash Rayappa,"Jiiva, Hansika Motwani, Sibiraj",Comedy,PTS Film International,
M A R,4,Sowkarpettai,Vadivudaiyan,"Srikanth, Raai Laxmi",Horror,Shalom Studios,
M A R,11,Aviyal,Five Directors,"Nivin Pauly, Bobby Simha, Amrutha Srinivasan",Anthology,Stone Bench Creations,
M A R,11,Enna Pidichirukka,Subburaj,"Kevin, Preethi Vij, Ravi Mariya",Romance,Bright Future Moviemakers,
M A R,11,Kadhalum Kadandhu Pogum,Nalan Kumarasamy,"Vijay Sethupathi, Madonna Sebastian",Romantic comedy,Thirukumaran Entertainment & Studio Green,[24]
M A R,11,Kathiravanin Kodai Mazhai,Kathiravan,"Kannan, Srija, Kalanjiyam",Romance,Yazh Tamil Thirai,
M A R,11,Mapla Singam,N. Rajasekhar,"Vimal, Anjali, Soori",Comedy,Escape Artists Motion Pictures,
M A R,11,Natpadhigaram 79,Ravichandran,"Raj Bharath, Amzath Khan, Reshmi Menon, Tejaswi Madivada",Drama,Jayam Cine Entertainment,
M A R,18,Aagam,Vijay Anand Sriram,"Irfan, Deekshitha Manikkam, Jayaprakash, Riyaz Khan",Drama,JYO Star Enterprises,
M A R,18,Endru Thaniyum,"Bharathi Krishnakumar (writer, director, orator)","Yuvan Mayilsamy (actor), Jeevitha, Chandhana, Rajesh Balachandran (actor)",Romance,Vel Productions,
M A R,18,Pugazh,Manimaran,"Jai, Surabhi, RJ Balaji",Action,Film Department,[25]
M A R,18,Sawaari,Guhan Senniappan,"Benito Franklin, Mathivanan Rajendran, Sanam Shetty",Thriller,Entertainment Brothers,
M A R,18,Vidayutham,Nagamaneci,"Ram Saravana, Tanvi Ganesh Lonkar, Nagamaneci",Horror,Sree Nagaraja Sarpayakshi Films,
M A R,25,Adida Melam,Anbu Stalin,"Abhay Krishna, Abhinaya, Gaana Bala",Romantic comedy,B Vision Dado Creations,
M A R,25,Anbudan Anbarasi,Allwyn Amala Prasanna,"Allwyn Amala Prasanna, Dharani, Pandu, Kovai Senthil, Velmurugan, Sivan Srinevasan, Yuvanswang, Advocate Abi, Sabarigiri Mani, Manivel Pandi,",Romantic comedy,"Raj Marteen Films, Marteen Durai Raj, Fathima Rani Pilomin,",
M A R,25,Thozha,Vamsi Paidipally,"Nagarjuna, Karthi, Tamannaah",Drama,PVP cinema,[26]
M A R,25,Vaaliba Raja,Sai Gokul Ramnath,"Sethu, Vishakha Singh, Nushrat Bharucha, Santhanam",Comedy,Vanks Vision,
M A R,25,Zero,Arun Kumar,"Ashwin Kakumanu, Sshivada, JD Chakravarthy",Supernatural thriller,Madhav Media Entertainments,
A P R,1,Darling 2,Sathish Chandrasekaran,"Kalaiyarasan, Rameez Raja, Maya, Kaali Venkat, Hari",Horror comedy,Rite Media Works Sathish Chandrasekaranin Kadhaigal,
A P R,1,Hello Naan Pei Pesuren,S. Bhaskar,"Vaibhav, Aishwarya Rajesh, Oviya",Horror comedy,Avni Movies,
A P R,1,Narathan,Naga Venkatesh,"Nakul, Nikesha Patel, Shruti Ramakrishnan, Premji Amaren",Comedy,Vetrivel Film International,
A P R,1,Uyire Uyire,A. Rajasekhar,"Siddhu, Hansika Motwani",Romance,Jayaprada Productions Studio 9 Motion Pictures,
A P R,8,Avan Aval,Ramkrish Mrinali,"Vignesh, Devika Madhavan",Drama,Khayan Pictures,
A P R,8,Jithan 2,Rahul,"Jithan Ramesh, Srushti Dange, Karunas, Yogi Babu",Horror Comedy,SK Entertainment,
